method,keywords_mean,similarity_mean,exactitude_score,pertinence_mean,hallucinations_rate,latence_mean,latence_score,complexite_score,global_score
llm_only,0.1716666666666667,0.453905176371336,0.3127859215190013,0.8666666666666667,0.3333333333333333,7.44731975896672,0.1424237378964516,0.3,0.380199337140168
rag,0.6655555555555558,0.5911503742138545,0.628352964884705,1.8,3.3,5.6282081881665365,0.1738658348454807,0.6999999999999997,0.6995857646922337
extractive_qa,0.2827777777777777,0.5713745872179667,0.42707618249787227,1.0333333333333334,0.0,0.8218319177004256,0.595742733540665,0.6999999999999997,0.6258175981137947
